Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Battery,Centralized,Natural,gemma 12b,small_picker_heavy_2v4,0,session_cps_20260524,494,NA,834,0.17766666666666667,12288.668907165527,,0,500,0.0,988.0,,1.688259109311741,NA,Battery-TA-RWARE/results/battery/centralized/natural/session_cps_20260524/gemma3_12b/small_picker_heavy_2v4/language/summary.json
Battery,Shared,Natural,gemma 12b,medium_balanced_4v4,100,session_cps_20260523,4000,NA,4000,0.0,242013.22491884232,,0,500,0.0,8000.0,,1.0,NA,Battery-TA-RWARE/results/battery/shared/natural/session_cps_20260523/gemma3_12b/medium_balanced_4v4/language/summary.json
Battery,Shared,Natural,gemma 12b,small_balanced_2v2,100,session_cps_20260523,2000,NA,2000,0.0,121995.71408677101,,0,500,0.0,4000.0,,1.0,NA,Battery-TA-RWARE/results/battery/shared/natural/session_cps_20260523/gemma3_12b/small_balanced_2v2/language/summary.json
Battery,Shared,Natural,gemma 12b,tiny_balanced_1v1,100,session_cps_20260523,1000,NA,1000,0.0,60756.21349310875,,0,500,0.0,2000.0,,1.0,NA,Battery-TA-RWARE/results/battery/shared/natural/session_cps_20260523/gemma3_12b/tiny_balanced_1v1/language/summary.json
Battery,Shared,Natural,mistral 7b,small_balanced_2v2,100,session_cps_20260533,2000,NA,2000,0.0,120312.42745161057,,0,500,0.0,4000.0,,1.0,NA,Battery-TA-RWARE/results/battery/shared/natural/session_cps_20260533/mistral_7b/small_balanced_2v2/language/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_balanced_2v2,0,session_20260422_083558,491,490,1960,0.0,7165.65599155426,,0,500,0.0,982.0,,3.9918533604887982,0.9979633401221996,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_083558/llama3.2_1b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),tiny_balanced_1v1,0,session_20260422_083558,500,500,1000,0.0,7275.744878053665,,0,500,0.0,1000.0,,2.0,1.0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_083558/llama3.2_1b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_agv_heavy_6v2,0,session_20260422_155053,473,0,3758,0.0,1320.7305369377136,,0,500,0.0,946.0,,7.945031712473573,0.0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_155053/llama3.2_1b/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_balanced_4v4,0,session_20260422_155053,209,0,1053,0.013,11322.979447841644,,0,500,0.0,418.0,,5.038277511961723,0.0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_155053/llama3.2_1b/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),tiny_balanced_1v1,0,session_20260422_155053,482,1,914,0.0,304.4318296909332,,0,500,0.0,964.0,,1.896265560165975,0.002074688796680498,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_155053/llama3.2_1b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_balanced_4v4,0,session_20260422_220055,247,0,1141,0.01275,13174.14028763771,,0,500,0.0,494.0,,4.619433198380567,0.0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_220055/llama3.2_1b/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,mistral 7b,tiny_balanced_1v1,0,session_cps_mistral,287,0,300,0.258,15302.431960344315,,0,500,0.0,574.0,,1.0452961672473868,0.0,Battery-TA-RWARE/results/calls/centralized/json/session_cps_mistral/mistral_7b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,llama 3b (3.2),medium_agv_heavy_6v2,0,session_llama3b_rerun,419,0,5,0.104,4463.81049990654,,0,500,0.0,838.0,,0.011933174224343675,0.0,Battery-TA-RWARE/results/calls/centralized/json/session_llama3b_rerun/llama3.2_3b/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,llama 3b (3.2),medium_balanced_4v4,0,session_llama3b_rerun,1097,13,179,0.1423404255319149,14522.087092638016,83,3,1175,2.5531914893617023,933.6170212765958,365.6666666666667,0.16317228805834094,0.011850501367365542,Battery-TA-RWARE/results/calls/centralized/json/session_llama3b_rerun/llama3.2_3b/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,llama 3b (3.2),small_agv_heavy_4v2,0,session_llama3b_rerun,456,4,58,0.08633333333333333,4937.156343221664,,0,500,0.0,912.0,,0.12719298245614036,0.008771929824561403,Battery-TA-RWARE/results/calls/centralized/json/session_llama3b_rerun/llama3.2_3b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,llama 3b (3.2),small_balanced_2v2,0,session_llama3b_rerun,502,1,17,0.058149405772495756,3973.2394664287567,89,1,589,1.697792869269949,852.2920203735144,502.0,0.03386454183266932,0.00199203187250996,Battery-TA-RWARE/results/calls/centralized/json/session_llama3b_rerun/llama3.2_3b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,llama 3b (3.2),small_picker_heavy_2v4,0,session_llama3b_rerun,727,0,15,0.11929824561403508,8211.241974592209,260,1,760,1.3157894736842106,956.578947368421,727.0,0.02063273727647868,0.0,Battery-TA-RWARE/results/calls/centralized/json/session_llama3b_rerun/llama3.2_3b/small_picker_heavy_2v4/json/summary.json
Calls,Centralized,Json,llama 3b (3.2),tiny_balanced_1v1,0,session_llama3b_rerun,491,0,0,0.0,2197.4818489551544,,0,500,0.0,982.0,,0.0,0.0,Battery-TA-RWARE/results/calls/centralized/json/session_llama3b_rerun/llama3.2_3b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_balanced_4v4,0,valid_session1/session1,247,0,1141,0.01275,13174.14028763771,,0,500,0.0,494.0,,4.619433198380567,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session1/medium_balanced_4v4/json/summary.json
